DateKey,Date,Day,DayName,DayOfWeekNumber,WeekOfYear,MonthNumber,MonthName,MonthShort,Quarter,Year,YearMonth,MonthYear,FinancialYear,FinancialQuarter,IsWeekend,Season,IsMonthEnd
20220101,2022-01-01,1,Saturday,6,52,1,January,Jan,Q1,2022,2022-01,Jan 2022,2021/22,FQ4,Yes,Winter,No
20220102,2022-01-02,2,Sunday,7,52,1,January,Jan,Q1,2022,2022-01,Jan 2022,2021/22,FQ4,Yes,Winter,No
20220103,2022-01-03,3,Monday,1,1,1,January,Jan,Q1,2022,2022-01,Jan 2022,2021/22,FQ4,No,Winter,No
20220104,2022-01-04,4,Tuesday,2,1,1,January,Jan,Q1,2022,2022-01,Jan 2022,2021/22,FQ4,No,Winter,No
20220105,2022-01-05,5,Wednesday,3,1,1,January,Jan,Q1,2022,2022-01,Jan 2022,2021/22,FQ4,No,Winter,No
20220106,2022-01-06,6,Thursday,4,1,1,January,Jan,Q1,2022,2022-01,Jan 2022,2021/22,FQ4,No,Winter,No
20220107,2022-01-07,7,Friday,5,1,1,January,Jan,Q1,2022,2022-01,Jan 2022,2021/22,FQ4,No,Winter,No
20220108,2022-01-08,8,Saturday,6,1,1,January,Jan,Q1,2022,2022-01,Jan 2022,2021/22,FQ4,Yes,Winter,No
20220109,2022-01-09,9,Sunday,7,1,1,January,Jan,Q1,2022,2022-01,Jan 2022,2021/22,FQ4,Yes,Winter,No
20220110,2022-01-10,10,Monday,1,2,1,January,Jan,Q1,2022,2022-01,Jan 2022,2021/22,FQ4,No,Winter,No
20220111,2022-01-11,11,Tuesday,2,2,1,January,Jan,Q1,2022,2022-01,Jan 2022,2021/22,FQ4,No,Winter,No
20220112,2022-01-12,12,Wednesday,3,2,1,January,Jan,Q1,2022,2022-01,Jan 2022,2021/22,FQ4,No,Winter,No
20220113,2022-01-13,13,Thursday,4,2,1,January,Jan,Q1,2022,2022-01,Jan 2022,2021/22,FQ4,No,Winter,No
20220114,2022-01-14,14,Friday,5,2,1,January,Jan,Q1,2022,2022-01,Jan 2022,2021/22,FQ4,No,Winter,No
20220115,2022-01-15,15,Saturday,6,2,1,January,Jan,Q1,2022,2022-01,Jan 2022,2021/22,FQ4,Yes,Winter,No
20220116,2022-01-16,16,Sunday,7,2,1,January,Jan,Q1,2022,2022-01,Jan 2022,2021/22,FQ4,Yes,Winter,No
20220117,2022-01-17,17,Monday,1,3,1,January,Jan,Q1,2022,2022-01,Jan 2022,2021/22,FQ4,No,Winter,No
20220118,2022-01-18,18,Tuesday,2,3,1,January,Jan,Q1,2022,2022-01,Jan 2022,2021/22,FQ4,No,Winter,No
20220119,2022-01-19,19,Wednesday,3,3,1,January,Jan,Q1,2022,2022-01,Jan 2022,2021/22,FQ4,No,Winter,No
20220120,2022-01-20,20,Thursday,4,3,1,January,Jan,Q1,2022,2022-01,Jan 2022,2021/22,FQ4,No,Winter,No
20220121,2022-01-21,21,Friday,5,3,1,January,Jan,Q1,2022,2022-01,Jan 2022,2021/22,FQ4,No,Winter,No
20220122,2022-01-22,22,Saturday,6,3,1,January,Jan,Q1,2022,2022-01,Jan 2022,2021/22,FQ4,Yes,Winter,No
20220123,2022-01-23,23,Sunday,7,3,1,January,Jan,Q1,2022,2022-01,Jan 2022,2021/22,FQ4,Yes,Winter,No
20220124,2022-01-24,24,Monday,1,4,1,January,Jan,Q1,2022,2022-01,Jan 2022,2021/22,FQ4,No,Winter,No
20220125,2022-01-25,25,Tuesday,2,4,1,January,Jan,Q1,2022,2022-01,Jan 2022,2021/22,FQ4,No,Winter,No
20220126,2022-01-26,26,Wednesday,3,4,1,January,Jan,Q1,2022,2022-01,Jan 2022,2021/22,FQ4,No,Winter,No
20220127,2022-01-27,27,Thursday,4,4,1,January,Jan,Q1,2022,2022-01,Jan 2022,2021/22,FQ4,No,Winter,No
20220128,2022-01-28,28,Friday,5,4,1,January,Jan,Q1,2022,2022-01,Jan 2022,2021/22,FQ4,No,Winter,No
20220129,2022-01-29,29,Saturday,6,4,1,January,Jan,Q1,2022,2022-01,Jan 2022,2021/22,FQ4,Yes,Winter,No
20220130,2022-01-30,30,Sunday,7,4,1,January,Jan,Q1,2022,2022-01,Jan 2022,2021/22,FQ4,Yes,Winter,No
20220131,2022-01-31,31,Monday,1,5,1,January,Jan,Q1,2022,2022-01,Jan 2022,2021/22,FQ4,No,Winter,Yes
20220201,2022-02-01,1,Tuesday,2,5,2,February,Feb,Q1,2022,2022-02,Feb 2022,2021/22,FQ4,No,Winter,No
20220202,2022-02-02,2,Wednesday,3,5,2,February,Feb,Q1,2022,2022-02,Feb 2022,2021/22,FQ4,No,Winter,No
20220203,2022-02-03,3,Thursday,4,5,2,February,Feb,Q1,2022,2022-02,Feb 2022,2021/22,FQ4,No,Winter,No
20220204,2022-02-04,4,Friday,5,5,2,February,Feb,Q1,2022,2022-02,Feb 2022,2021/22,FQ4,No,Winter,No
20220205,2022-02-05,5,Saturday,6,5,2,February,Feb,Q1,2022,2022-02,Feb 2022,2021/22,FQ4,Yes,Winter,No
20220206,2022-02-06,6,Sunday,7,5,2,February,Feb,Q1,2022,2022-02,Feb 2022,2021/22,FQ4,Yes,Winter,No
20220207,2022-02-07,7,Monday,1,6,2,February,Feb,Q1,2022,2022-02,Feb 2022,2021/22,FQ4,No,Winter,No
20220208,2022-02-08,8,Tuesday,2,6,2,February,Feb,Q1,2022,2022-02,Feb 2022,2021/22,FQ4,No,Winter,No
20220209,2022-02-09,9,Wednesday,3,6,2,February,Feb,Q1,2022,2022-02,Feb 2022,2021/22,FQ4,No,Winter,No
20220210,2022-02-10,10,Thursday,4,6,2,February,Feb,Q1,2022,2022-02,Feb 2022,2021/22,FQ4,No,Winter,No
20220211,2022-02-11,11,Friday,5,6,2,February,Feb,Q1,2022,2022-02,Feb 2022,2021/22,FQ4,No,Winter,No
20220212,2022-02-12,12,Saturday,6,6,2,February,Feb,Q1,2022,2022-02,Feb 2022,2021/22,FQ4,Yes,Winter,No
